"table_schema","table_name","indexname","indexdef"
"public","cpq_configuration_references","cpq_configuration_references_account_idx","CREATE INDEX cpq_configuration_references_account_idx ON public.cpq_configuration_references USING btree (account_code, country_code, created_at DESC)"
"public","cpq_configuration_references","cpq_configuration_references_configuration_reference_key","CREATE UNIQUE INDEX cpq_configuration_references_configuration_reference_key ON public.cpq_configuration_references USING btree (configuration_reference)"
"public","cpq_configuration_references","cpq_configuration_references_lookup_idx","CREATE INDEX cpq_configuration_references_lookup_idx ON public.cpq_configuration_references USING btree (configuration_reference, is_active)"
"public","cpq_configuration_references","cpq_configuration_references_pkey","CREATE UNIQUE INDEX cpq_configuration_references_pkey ON public.cpq_configuration_references USING btree (id)"
"public","cpq_configuration_references","cpq_configuration_references_ruleset_idx","CREATE INDEX cpq_configuration_references_ruleset_idx ON public.cpq_configuration_references USING btree (ruleset, namespace, created_at DESC)"
"public","cpq_image_management","cpq_image_management_feature_label_option_label_option_valu_key","CREATE UNIQUE INDEX cpq_image_management_feature_label_option_label_option_valu_key ON public.cpq_image_management USING btree (feature_label, option_label, option_value)"
"public","cpq_image_management","cpq_image_management_lookup_idx","CREATE INDEX cpq_image_management_lookup_idx ON public.cpq_image_management USING btree (feature_label, option_label, option_value) WHERE (is_active = true)"
"public","cpq_image_management","cpq_image_management_pkey","CREATE UNIQUE INDEX cpq_image_management_pkey ON public.cpq_image_management USING btree (id)"
"public","cpq_sampler_result","cpq_sampler_result_filter_idx","CREATE INDEX cpq_sampler_result_filter_idx ON public.cpq_sampler_result USING btree (ruleset, account_code, country_code)"
"public","cpq_sampler_result","cpq_sampler_result_ipn_country_unique_idx","CREATE UNIQUE INDEX cpq_sampler_result_ipn_country_unique_idx ON public.cpq_sampler_result USING btree (ipn_code, country_code) WHERE ((ipn_code IS NOT NULL) AND (country_code IS NOT NULL))"
"public","cpq_sampler_result","cpq_sampler_result_ipn_created_idx","CREATE INDEX cpq_sampler_result_ipn_created_idx ON public.cpq_sampler_result USING btree (ipn_code, created_at DESC, id DESC)"
"public","cpq_sampler_result","cpq_sampler_result_pkey","CREATE UNIQUE INDEX cpq_sampler_result_pkey ON public.cpq_sampler_result USING btree (id)"
"public","cpq_sampler_result","cpq_sampler_result_unprocessed_idx","CREATE INDEX cpq_sampler_result_unprocessed_idx ON public.cpq_sampler_result USING btree (processed_for_image_sync) WHERE (processed_for_image_sync = false)"
"public","cpq_setup_account_context","cpq_setup_account_context_account_code_key","CREATE UNIQUE INDEX cpq_setup_account_context_account_code_key ON public.cpq_setup_account_context USING btree (account_code)"
"public","cpq_setup_account_context","cpq_setup_account_context_pkey","CREATE UNIQUE INDEX cpq_setup_account_context_pkey ON public.cpq_setup_account_context USING btree (id)"
"public","cpq_setup_ruleset","cpq_setup_ruleset_cpq_ruleset_key","CREATE UNIQUE INDEX cpq_setup_ruleset_cpq_ruleset_key ON public.cpq_setup_ruleset USING btree (cpq_ruleset)"
"public","cpq_setup_ruleset","cpq_setup_ruleset_pkey","CREATE UNIQUE INDEX cpq_setup_ruleset_pkey ON public.cpq_setup_ruleset USING btree (id)"
